"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SPCC1223.09",147.447621362925,-0.653658654050925,0.193230853018506,-3.38278615366006,0.000717544814127039,0.00282831211252963
"SPNCRNA.1236",48.4948131514558,0.599778508281845,0.343544383384215,1.74585450174879,0.0808362376082259,0.159488661077912
"SPCC1223.10c",118.913325056111,0.237229564879806,0.204470293908684,1.16021530729424,0.245961156239786,0.37856823122582
"SPCTRNAGLN.05",1.05931070100117,-3.45171840783294,2.19524050493771,-1.57236457694228,0.115866024496213,0.212800507439478
"SPCC1223.11",256.82808697317,0.0327611100692246,0.128319402803586,0.255309090857997,0.79848437906936,0.866146091953934
"SPNCRNA.586",80.2028610909319,0.349828977856171,0.224392637972786,1.55900381142895,0.118995478062218,0.217025069106375
"SPNCRNA.1238",45.9405880687167,0.437965238284983,0.299469353516991,1.46247097788634,0.143612191671304,0.250348999431095
"SPCC1223.13",212.516130329452,-0.616973821382654,0.171471780362778,-3.5981070475698,0.000320541692769518,0.001393029280106
"SPCC1223.14",346.488644734662,-0.972553021663822,0.116224364991991,-8.36789275407822,5.86577422343107e-17,1.54525781955483e-15
"SPNCRNA.1239",74.5069885744308,-0.105670916012575,0.230898464735554,-0.457651011814214,0.647203188306377,0.756164680909808
"SPCC297.03",628.182368101435,0.221445356666837,0.0908265985806097,2.43811130359905,0.014764227257711,0.0392887373554453
"SPNCRNA.1240",144.799706305948,0.0359500288246017,0.164983021811241,0.217901384214749,0.827505948613402,0.885936464363603
"SPCC297.04c",129.277281913773,0.699179008246362,0.188382869361011,3.7114787062006,0.000206052004244688,0.000944820446882734
"SPCC297.06c",61.1428624309877,0.168034236496061,0.265052931989755,0.633964828212336,0.52610377597213,0.655276754921111
"SPCC737.02c",275.956698814072,0.138424620080515,0.12790079669681,1.08228114019221,0.279127623627938,0.417193379192425
"SPCC737.03c",578.868713028599,0.8189759134753,0.0983179783474281,8.32986934069443,8.09316254537006e-17,2.12383261719461e-15
"SPCC737.04",951.745628546818,0.913575595756443,0.0797422992408599,11.4565996272193,2.17902838677853e-30,1.87471090788132e-28
"SPNCRNA.1241",12.2569657108239,-0.202983238656275,0.674429246277256,-0.300970397972375,0.763437067544856,0.844098381438754
"SPNCRNA.1242",10.6321056003959,-0.503334173621314,0.70515116177479,-0.713796134653563,0.475353250188643,0.611430473994841
"SPCC737.05",274.490366491304,-0.052586288900666,0.125174866429209,-0.420102616449808,0.674410491394615,0.776456023323146
"SPCC737.06c",212.238579658201,-0.073827304841281,0.141701678757527,-0.521005153140146,0.60236318158151,0.720581325070355
"SPCC737.07c",72.2762214091232,0.519683291502643,0.235624292877784,2.20555904977165,0.0274148889829276,0.0657706707209968
"SPNCRNA.505",3.23952773452482,2.02836575149303,1.2372226288306,1.6394508993181,0.101119388581147,0.190327610562528
"SPCC74.09",23.0631539816702,-0.0134277739612423,0.4421586001906,-0.0303686820870476,0.975773021404208,0.985741682712602
"SPCC74.01",264.258729030584,-0.640847434148379,0.144522333659338,-4.43424499122025,9.23955112287059e-06,5.78893088258458e-05
"SPCC74.02c",219.481879591893,-0.381379269762428,0.144633048214147,-2.63687500520454,0.00836736572122323,0.0243041874482359
"SPCC74.03c",540.554455085257,0.438160681554499,0.0953259913916786,4.59644505299892,4.29760238114595e-06,2.87758008307741e-05
"SPNCRNA.506",1.62975631341527,0.711952435041819,1.7448049440527,0.408041275598491,0.683243372114231,0.783780242316062
"SPNCRNA.1243",36.291911313877,0.388625398707627,0.366072645174817,1.0616073170997,0.288413990549039,0.42742151553347
"SPNCRNA.1244",7.16072598599061,0.31950129840828,0.789279173213168,0.404801379855984,0.685623514437195,0.785406873130199
"SPCC74.04",245.239701351468,-2.54775491981891,0.389987955912849,-6.53290667363138,6.45053426315604e-11,9.09338745403174e-10
"SPNCRNA.1245",232.867511349782,-0.978816030243674,0.141736403594759,-6.90589012715623,4.98896014661849e-12,8.18261420201393e-11
"SPCC74.05",231.609394891487,-0.985516245015465,0.142801203242404,-6.90131611386046,5.15229353139889e-12,8.43023951192677e-11
